Month,CPI_SA,Core_SA,Services_SA,PPI_SA,CoreGoods_SA,PPI_Mfg_SA,USDTRY,EURTRY
2005-11-01,121.3211654,120.5899682,134.7836545,121.4046941,109.0182534,123.21,1.35694500,1.5993499999999998
2005-12-01,122.3262575,121.4598507,135.9238709,121.1363827,109.7168036,122.5,1.3489568181818181,1.599959090909091
2006-01-01,123.0911658,122.2496018,136.8969381,123.513548,109.7989517,123.69,1.3311388888888889,1.6105694444444443
2006-02-01,123.5719975,122.5609462,138.1554986,123.8305034,108.9371571,123.81,1.3233475000000001,1.58236500
2006-03-01,123.8497582,122.938013,139.3373771,124.1375539,108.4743614,124.4,1.3319326086956522,1.6000282608695653
2006-04-01,125.1924724,124.0801439,140.8227378,126.5444338,109.0669297,126.84,1.33413250,1.6327974999999997
2006-05-01,127.3014739,125.7535611,142.4127685,130.0507527,110.0427397,130.64,1.4172568181818181,1.8078113636363637
2006-06-01,128.7596248,127.4553918,143.6312188,135.2805164,111.1318513,137.66,1.5966954545454546,2.0227772727272724
2006-07-01,130.6372481,128.9549321,145.0310821,136.4492893,112.375086,139.73,1.5545238095238094,1.9719190476190476
2006-08-01,130.8343316,129.9139041,146.5345404,135.4290892,113.0018706,138.76,1.4657181818181817,1.8774613636363635
2006-09-01,132.08586,130.717933,148.2032151,135.1121338,114.1248239,138.11,1.4756976190476192,1.880642857142857
2006-10-01,132.3454086,131.5046448,149.4217842,135.7262349,114.9498516,138.02,1.479807894736842,1.8678657894736843
2006-11-01,133.275457,132.2308319,150.5544334,135.3300406,115.0021904,137.52,1.4545227272727272,1.8708727272727272
2006-12-01,134.2023425,132.8838906,151.9580863,135.1616581,114.9288248,137.6,1.4298357142857143,1.8888309523809523
2007-01-01,135.3139654,133.2821304,153.2678589,135.0923241,114.9504808,136.8,1.42323000,1.84846750
2007-02-01,136.0960595,134.1087882,154.5285958,136.3700505,115.5637059,137.7,1.39359250,1.8199075000000002
2007-03-01,137.2333864,135.1770552,155.6487669,137.6973011,116.5015468,139.06,1.40625000,1.8611659090909092
2007-04-01,138.4756611,136.0758629,156.691284,138.7967401,116.7740785,140.45,1.35854500,1.83217750
2007-05-01,139.0464099,136.799968,157.5220932,139.3415071,116.7590666,140.64,1.3350695652173914,1.8056673913043477
2007-06-01,139.7974626,137.1858777,158.7943251,139.1929343,116.6178753,140.3,1.3183714285714285,1.76835000
2007-07-01,139.7168643,137.2241473,159.7073864,139.282078,116.308899,139.92,1.2790522727272728,1.7528454545454544
2007-08-01,140.537115,137.6033153,160.3882433,140.4706607,116.0606029,140.76,1.3114386363636363,1.7860386363636365
2007-09-01,141.660787,138.411829,161.290514,141.8969598,116.0632043,141.66,1.26434500,1.7529474999999999
2007-10-01,142.511951,139.5078952,162.7609286,141.7087676,115.6923999,141.81,1.1994785714285716,1.7037404761904762
2007-11-01,144.4915511,141.484988,164.1386191,142.9765891,115.9353392,143.38,1.1876045454545454,1.7414727272727273
2007-12-01,145.5216507,143.0025755,165.4693105,143.1944959,116.2922919,143.48,1.1757947368421053,1.713428947368421
2008-01-01,146.4225537,144.1264355,166.8307326,143.7986921,115.8365171,143.49,1.1732613636363638,1.72480000
2008-02-01,148.4135785,145.4267675,168.2392083,147.4832983,116.0992876,145.84,1.191038095238095,1.7544380952380951
2008-03-01,149.7143282,147.5332132,169.9209253,152.1583901,117.3301807,151.66,1.235354761904762,1.9142238095238095
